Sexo;Comunidad autónoma;Tipos atención sanitaria;Sí o no;Total
Ambos sexos;Melilla;Atención médica;No consta;0,0
Ambos sexos;Melilla;Atención dental;TOTAL;64,3
Ambos sexos;Melilla;Atención dental;Sí;5,4
Ambos sexos;Melilla;Atención dental;No;36,6
Ambos sexos;Melilla;Atención dental;No necesitó asistencia;22,3
Ambos sexos;Melilla;Atención dental;No consta;0,0
Ambos sexos;Melilla;Medicamento recetado;TOTAL;64,3
Ambos sexos;Melilla;Medicamento recetado;Sí;0,5
Ambos sexos;Melilla;Medicamento recetado;No;35,7
Ambos sexos;Melilla;Medicamento recetado;No necesitó asistencia;28,1
Ambos sexos;Melilla;Medicamento recetado;No consta;0,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);TOTAL;64,3
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No;13,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;51,3
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Total Nacional;Atención médica;TOTAL;19.449,1
Hombres;Total Nacional;Atención médica;Sí;289,1
Hombres;Total Nacional;Atención médica;No;18.298,2
Hombres;Total Nacional;Atención médica;No necesitó asistencia;853,4
Hombres;Total Nacional;Atención médica;No consta;8,4
Hombres;Total Nacional;Atención dental;TOTAL;19.449,1
Hombres;Total Nacional;Atención dental;Sí;1.636,3
Hombres;Total Nacional;Atención dental;No;15.721,3
Hombres;Total Nacional;Atención dental;No necesitó asistencia;2.074,9
Hombres;Total Nacional;Atención dental;No consta;16,6
Hombres;Total Nacional;Medicamento recetado;TOTAL;19.449,1
Hombres;Total Nacional;Medicamento recetado;Sí;147,7
Hombres;Total Nacional;Medicamento recetado;No;17.256,6
Hombres;Total Nacional;Medicamento recetado;No necesitó asistencia;2.034,7
Hombres;Total Nacional;Medicamento recetado;No consta;10,1
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);TOTAL;19.449,1
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);Sí;93,2
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No;11.974,4
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;7.367,5
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No consta;14,1
Hombres;Andalucía;Atención médica;TOTAL;3.473,0
Hombres;Andalucía;Atención médica;Sí;44,5
Hombres;Andalucía;Atención médica;No;3.322,4
Hombres;Andalucía;Atención médica;No necesitó asistencia;106,1
Hombres;Andalucía;Atención médica;No consta;0,0
Hombres;Andalucía;Atención dental;TOTAL;3.473,0
Hombres;Andalucía;Atención dental;Sí;185,3
Hombres;Andalucía;Atención dental;No;3.124,5
Hombres;Andalucía;Atención dental;No necesitó asistencia;163,2
Hombres;Andalucía;Atención dental;No consta;0,0
Hombres;Andalucía;Medicamento recetado;TOTAL;3.473,0
Hombres;Andalucía;Medicamento recetado;Sí;20,2
Hombres;Andalucía;Medicamento recetado;No;3.326,9
Hombres;Andalucía;Medicamento recetado;No necesitó asistencia;125,9
Hombres;Andalucía;Medicamento recetado;No consta;0,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);TOTAL;3.473,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);Sí;20,2
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No;2.843,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;609,8
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Aragón;Atención médica;TOTAL;550,5
Hombres;Aragón;Atención médica;Sí;15,1
Hombres;Aragón;Atención médica;No;516,0
Hombres;Aragón;Atención médica;No necesitó asistencia;19,4
Hombres;Aragón;Atención médica;No consta;0,0
Hombres;Aragón;Atención dental;TOTAL;550,5
Hombres;Aragón;Atención dental;Sí;20,2
Hombres;Aragón;Atención dental;No;510,3
Hombres;Aragón;Atención dental;No necesitó asistencia;20,0
Hombres;Aragón;Atención dental;No consta;0,0
Hombres;Aragón;Medicamento recetado;TOTAL;550,5
Hombres;Aragón;Medicamento recetado;Sí;7,6
Hombres;Aragón;Medicamento recetado;No;516,2
Hombres;Aragón;Medicamento recetado;No necesitó asistencia;26,7
Hombres;Aragón;Medicamento recetado;No consta;0,0
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);TOTAL;550,5
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No;507,8
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;42,7
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Asturias, Principado de;Atención médica;TOTAL;425,8
Hombres;Asturias, Principado de;Atención médica;Sí;1,9
Hombres;Asturias, Principado de;Atención médica;No;411,2
Hombres;Asturias, Principado de;Atención médica;No necesitó asistencia;12,6
Hombres;Asturias, Principado de;Atención médica;No consta;0,0
Hombres;Asturias, Principado de;Atención dental;TOTAL;425,8
Hombres;Asturias, Principado de;Atención dental;Sí;28,4
Hombres;Asturias, Principado de;Atención dental;No;382,8
Hombres;Asturias, Principado de;Atención dental;No necesitó asistencia;14,5
Hombres;Asturias, Principado de;Atención dental;No consta;0,0
Hombres;Asturias, Principado de;Medicamento recetado;TOTAL;425,8
Hombres;Asturias, Principado de;Medicamento recetado;Sí;0,8
Hombres;Asturias, Principado de;Medicamento recetado;No;397,8
Hombres;Asturias, Principado de;Medicamento recetado;No necesitó asistencia;27,1
Hombres;Asturias, Principado de;Medicamento recetado;No consta;0,0
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;425,8
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);Sí;1,4
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No;268,7
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;155,6
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Balears, Illes;Atención médica;TOTAL;512,0
Hombres;Balears, Illes;Atención médica;Sí;0,0
Hombres;Balears, Illes;Atención médica;No;510,8
Hombres;Balears, Illes;Atención médica;No necesitó asistencia;1,1
Hombres;Balears, Illes;Atención médica;No consta;0,0
Hombres;Balears, Illes;Atención dental;TOTAL;512,0
Hombres;Balears, Illes;Atención dental;Sí;26,4
Hombres;Balears, Illes;Atención dental;No;471,9
Hombres;Balears, Illes;Atención dental;No necesitó asistencia;13,6
Hombres;Balears, Illes;Atención dental;No consta;0,0
Hombres;Balears, Illes;Medicamento recetado;TOTAL;512,0
Hombres;Balears, Illes;Medicamento recetado;Sí;5,1
Hombres;Balears, Illes;Medicamento recetado;No;503,8
Hombres;Balears, Illes;Medicamento recetado;No necesitó asistencia;3,0
Hombres;Balears, Illes;Medicamento recetado;No consta;0,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);TOTAL;512,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No;477,4
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;34,6
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Canarias;Atención médica;TOTAL;953,4
Hombres;Canarias;Atención médica;Sí;67,2
Hombres;Canarias;Atención médica;No;884,3
Hombres;Canarias;Atención médica;No necesitó asistencia;1,9
Hombres;Canarias;Atención médica;No consta;0,0
Hombres;Canarias;Atención dental;TOTAL;953,4
Hombres;Canarias;Atención dental;Sí;230,9
Hombres;Canarias;Atención dental;No;715,0
Hombres;Canarias;Atención dental;No necesitó asistencia;7,4
Hombres;Canarias;Atención dental;No consta;0,0
Hombres;Canarias;Medicamento recetado;TOTAL;953,4
Hombres;Canarias;Medicamento recetado;Sí;6,8
Hombres;Canarias;Medicamento recetado;No;749,9
Hombres;Canarias;Medicamento recetado;No necesitó asistencia;196,7
Hombres;Canarias;Medicamento recetado;No consta;0,0
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);TOTAL;953,4
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);Sí;11,0
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No;488,1
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;454,2
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Cantabria;Atención médica;TOTAL;241,9
Hombres;Cantabria;Atención médica;Sí;0,3
Hombres;Cantabria;Atención médica;No;241,7
Hombres;Cantabria;Atención médica;No necesitó asistencia;0,0
Hombres;Cantabria;Atención médica;No consta;0,0
Hombres;Cantabria;Atención dental;TOTAL;241,9
Hombres;Cantabria;Atención dental;Sí;2,5
Hombres;Cantabria;Atención dental;No;239,4
Hombres;Cantabria;Atención dental;No necesitó asistencia;0,0
Hombres;Cantabria;Atención dental;No consta;0,0
Hombres;Cantabria;Medicamento recetado;TOTAL;241,9
Hombres;Cantabria;Medicamento recetado;Sí;0,8
Hombres;Cantabria;Medicamento recetado;No;241,1
Hombres;Cantabria;Medicamento recetado;No necesitó asistencia;0,0
Hombres;Cantabria;Medicamento recetado;No consta;0,0
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);TOTAL;241,9
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);Sí;0,3
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No;241,0
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,6
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Castilla y León;Atención médica;TOTAL;1.015,7
Hombres;Castilla y León;Atención médica;Sí;2,8
Hombres;Castilla y León;Atención médica;No;956,9
Hombres;Castilla y León;Atención médica;No necesitó asistencia;56,0
Hombres;Castilla y León;Atención médica;No consta;0,0
Hombres;Castilla y León;Atención dental;TOTAL;1.015,7
Hombres;Castilla y León;Atención dental;Sí;33,3
Hombres;Castilla y León;Atención dental;No;820,4
Hombres;Castilla y León;Atención dental;No necesitó asistencia;162,0
Hombres;Castilla y León;Atención dental;No consta;0,0
Hombres;Castilla y León;Medicamento recetado;TOTAL;1.015,7
Hombres;Castilla y León;Medicamento recetado;Sí;6,6
Hombres;Castilla y León;Medicamento recetado;No;839,8
Hombres;Castilla y León;Medicamento recetado;No necesitó asistencia;169,0
Hombres;Castilla y León;Medicamento recetado;No consta;0,3
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.015,7
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);Sí;1,9
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No;477,5
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;536,2
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Castilla - La Mancha;Atención médica;TOTAL;856,5
Hombres;Castilla - La Mancha;Atención médica;Sí;8,1
Hombres;Castilla - La Mancha;Atención médica;No;794,5
Hombres;Castilla - La Mancha;Atención médica;No necesitó asistencia;53,9
Hombres;Castilla - La Mancha;Atención médica;No consta;0,0
Hombres;Castilla - La Mancha;Atención dental;TOTAL;856,5
Hombres;Castilla - La Mancha;Atención dental;Sí;80,8
Hombres;Castilla - La Mancha;Atención dental;No;580,9
Hombres;Castilla - La Mancha;Atención dental;No necesitó asistencia;191,8
Hombres;Castilla - La Mancha;Atención dental;No consta;3,0
Hombres;Castilla - La Mancha;Medicamento recetado;TOTAL;856,5
Hombres;Castilla - La Mancha;Medicamento recetado;Sí;1,7
Hombres;Castilla - La Mancha;Medicamento recetado;No;740,7
Hombres;Castilla - La Mancha;Medicamento recetado;No necesitó asistencia;114,0
Hombres;Castilla - La Mancha;Medicamento recetado;No consta;0,0
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);TOTAL;856,5
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);Sí;5,6
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No;446,1
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;404,8
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Cataluña;Atención médica;TOTAL;3.107,2
Hombres;Cataluña;Atención médica;Sí;24,9
Hombres;Cataluña;Atención médica;No;2.835,6
Hombres;Cataluña;Atención médica;No necesitó asistencia;246,7
Hombres;Cataluña;Atención médica;No consta;0,0
Hombres;Cataluña;Atención dental;TOTAL;3.107,2
Hombres;Cataluña;Atención dental;Sí;290,6
Hombres;Cataluña;Atención dental;No;2.352,1
Hombres;Cataluña;Atención dental;No necesitó asistencia;464,5
Hombres;Cataluña;Atención dental;No consta;0,0
Hombres;Cataluña;Medicamento recetado;TOTAL;3.107,2
Hombres;Cataluña;Medicamento recetado;Sí;21,6
Hombres;Cataluña;Medicamento recetado;No;2.664,3
Hombres;Cataluña;Medicamento recetado;No necesitó asistencia;421,3
Hombres;Cataluña;Medicamento recetado;No consta;0,0
Hombres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);TOTAL;3.107,2
Hombres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);Sí;13,1
Hombres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No;1.968,0
Hombres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.126,1
Hombres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Comunitat Valenciana;Atención médica;TOTAL;2.079,7
Hombres;Comunitat Valenciana;Atención médica;Sí;21,2
Hombres;Comunitat Valenciana;Atención médica;No;1.942,6
Hombres;Comunitat Valenciana;Atención médica;No necesitó asistencia;116,0
Hombres;Comunitat Valenciana;Atención médica;No consta;0,0
Hombres;Comunitat Valenciana;Atención dental;TOTAL;2.079,7
Hombres;Comunitat Valenciana;Atención dental;Sí;237,3
Hombres;Comunitat Valenciana;Atención dental;No;1.481,0
Hombres;Comunitat Valenciana;Atención dental;No necesitó asistencia;361,4
Hombres;Comunitat Valenciana;Atención dental;No consta;0,0
Hombres;Comunitat Valenciana;Medicamento recetado;TOTAL;2.079,7
Hombres;Comunitat Valenciana;Medicamento recetado;Sí;25,5
Hombres;Comunitat Valenciana;Medicamento recetado;No;1.739,5
Hombres;Comunitat Valenciana;Medicamento recetado;No necesitó asistencia;314,8
Hombres;Comunitat Valenciana;Medicamento recetado;No consta;0,0
Hombres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.079,7
Hombres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);Sí;14,2
Hombres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No;582,1
Hombres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.483,5
Hombres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Extremadura;Atención médica;TOTAL;447,0
Hombres;Extremadura;Atención médica;Sí;7,2
Hombres;Extremadura;Atención médica;No;374,3
Hombres;Extremadura;Atención médica;No necesitó asistencia;65,4
Hombres;Extremadura;Atención médica;No consta;0,0
Hombres;Extremadura;Atención dental;TOTAL;447,0
Hombres;Extremadura;Atención dental;Sí;9,5
Hombres;Extremadura;Atención dental;No;311,0
Hombres;Extremadura;Atención dental;No necesitó asistencia;126,6
Hombres;Extremadura;Atención dental;No consta;0,0
Hombres;Extremadura;Medicamento recetado;TOTAL;447,0
Hombres;Extremadura;Medicamento recetado;Sí;2,9
Hombres;Extremadura;Medicamento recetado;No;295,5
Hombres;Extremadura;Medicamento recetado;No necesitó asistencia;148,6
Hombres;Extremadura;Medicamento recetado;No consta;0,0
Hombres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);TOTAL;447,0
Hombres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No;104,0
Hombres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;343,0
Hombres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Galicia;Atención médica;TOTAL;1.129,4
Hombres;Galicia;Atención médica;Sí;47,8
Hombres;Galicia;Atención médica;No;1.037,2
Hombres;Galicia;Atención médica;No necesitó asistencia;37,4
Hombres;Galicia;Atención médica;No consta;6,9
Hombres;Galicia;Atención dental;TOTAL;1.129,4
Hombres;Galicia;Atención dental;Sí;137,6
Hombres;Galicia;Atención dental;No;876,8
Hombres;Galicia;Atención dental;No necesitó asistencia;108,1
Hombres;Galicia;Atención dental;No consta;6,9
Hombres;Galicia;Medicamento recetado;TOTAL;1.129,4
Hombres;Galicia;Medicamento recetado;Sí;1,7
Hombres;Galicia;Medicamento recetado;No;1.013,3
Hombres;Galicia;Medicamento recetado;No necesitó asistencia;107,3
Hombres;Galicia;Medicamento recetado;No consta;6,9
Hombres;Galicia;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.129,4
Hombres;Galicia;Atención salud mental (psicólogo, psiquiatra...);Sí;7,9
Hombres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No;566,1
Hombres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;548,4
Hombres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No consta;6,9
Hombres;Madrid, Comunidad de;Atención médica;TOTAL;2.678,4
Hombres;Madrid, Comunidad de;Atención médica;Sí;22,0
Hombres;Madrid, Comunidad de;Atención médica;No;2.555,7
Hombres;Madrid, Comunidad de;Atención médica;No necesitó asistencia;100,8
Hombres;Madrid, Comunidad de;Atención médica;No consta;0,0
Hombres;Madrid, Comunidad de;Atención dental;TOTAL;2.678,4
Hombres;Madrid, Comunidad de;Atención dental;Sí;124,8
Hombres;Madrid, Comunidad de;Atención dental;No;2.196,7
Hombres;Madrid, Comunidad de;Atención dental;No necesitó asistencia;356,9
Hombres;Madrid, Comunidad de;Atención dental;No consta;0,0
Hombres;Madrid, Comunidad de;Medicamento recetado;TOTAL;2.678,4
Hombres;Madrid, Comunidad de;Medicamento recetado;Sí;15,9
Hombres;Madrid, Comunidad de;Medicamento recetado;No;2.420,0
Hombres;Madrid, Comunidad de;Medicamento recetado;No necesitó asistencia;242,5
Hombres;Madrid, Comunidad de;Medicamento recetado;No consta;0,0
Hombres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.678,4
Hombres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);Sí;3,6
Hombres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No;1.570,0
Hombres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.104,8
Hombres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Murcia, Región de;Atención médica;TOTAL;617,5
Hombres;Murcia, Región de;Atención médica;Sí;11,1
Hombres;Murcia, Región de;Atención médica;No;596,2
Hombres;Murcia, Región de;Atención médica;No necesitó asistencia;10,1
Hombres;Murcia, Región de;Atención médica;No consta;0,0
Hombres;Murcia, Región de;Atención dental;TOTAL;617,5
Hombres;Murcia, Región de;Atención dental;Sí;112,2
Hombres;Murcia, Región de;Atención dental;No;489,1
Hombres;Murcia, Región de;Atención dental;No necesitó asistencia;16,2
Hombres;Murcia, Región de;Atención dental;No consta;0,0
Hombres;Murcia, Región de;Medicamento recetado;TOTAL;617,5
Hombres;Murcia, Región de;Medicamento recetado;Sí;10,2
Hombres;Murcia, Región de;Medicamento recetado;No;545,3
Hombres;Murcia, Región de;Medicamento recetado;No necesitó asistencia;62,0
Hombres;Murcia, Región de;Medicamento recetado;No consta;0,0
Hombres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;617,5
Hombres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);Sí;7,9
Hombres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No;472,6
Hombres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;137,0
Hombres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Navarra, Comunidad Foral de;Atención médica;TOTAL;269,6
Hombres;Navarra, Comunidad Foral de;Atención médica;Sí;0,8
Hombres;Navarra, Comunidad Foral de;Atención médica;No;265,7
Hombres;Navarra, Comunidad Foral de;Atención médica;No necesitó asistencia;3,1
Hombres;Navarra, Comunidad Foral de;Atención médica;No consta;0,0
Hombres;Navarra, Comunidad Foral de;Atención dental;TOTAL;269,6
Hombres;Navarra, Comunidad Foral de;Atención dental;Sí;47,6
Hombres;Navarra, Comunidad Foral de;Atención dental;No;207,8
Hombres;Navarra, Comunidad Foral de;Atención dental;No necesitó asistencia;14,2
Hombres;Navarra, Comunidad Foral de;Atención dental;No consta;0,0
Hombres;Navarra, Comunidad Foral de;Medicamento recetado;TOTAL;269,6
Hombres;Navarra, Comunidad Foral de;Medicamento recetado;Sí;7,1
Hombres;Navarra, Comunidad Foral de;Medicamento recetado;No;252,3
Hombres;Navarra, Comunidad Foral de;Medicamento recetado;No necesitó asistencia;10,2
Hombres;Navarra, Comunidad Foral de;Medicamento recetado;No consta;0,0
Hombres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;269,6
Hombres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);Sí;2,0
Hombres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No;175,4
Hombres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;92,3
Hombres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;País Vasco;Atención médica;TOTAL;895,0
Hombres;País Vasco;Atención médica;Sí;12,9
Hombres;País Vasco;Atención médica;No;865,6
Hombres;País Vasco;Atención médica;No necesitó asistencia;15,0
Hombres;País Vasco;Atención médica;No consta;1,4
Hombres;País Vasco;Atención dental;TOTAL;895,0
Hombres;País Vasco;Atención dental;Sí;56,4
Hombres;País Vasco;Atención dental;No;794,3
Hombres;País Vasco;Atención dental;No necesitó asistencia;37,6
Hombres;País Vasco;Atención dental;No consta;6,7
Hombres;País Vasco;Medicamento recetado;TOTAL;895,0
Hombres;País Vasco;Medicamento recetado;Sí;10,1
Hombres;País Vasco;Medicamento recetado;No;838,1
Hombres;País Vasco;Medicamento recetado;No necesitó asistencia;43,8
Hombres;País Vasco;Medicamento recetado;No consta;2,9
Hombres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);TOTAL;895,0
Hombres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);Sí;3,3
Hombres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No;654,1
Hombres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;230,4
Hombres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No consta;7,1
Hombres;Rioja, La;Atención médica;TOTAL;131,1
Hombres;Rioja, La;Atención médica;Sí;0,0
Hombres;Rioja, La;Atención médica;No;129,3
Hombres;Rioja, La;Atención médica;No necesitó asistencia;1,9
Hombres;Rioja, La;Atención médica;No consta;0,0
Hombres;Rioja, La;Atención dental;TOTAL;131,1
Hombres;Rioja, La;Atención dental;Sí;10,7
Hombres;Rioja, La;Atención dental;No;115,4
Hombres;Rioja, La;Atención dental;No necesitó asistencia;5,0
Hombres;Rioja, La;Atención dental;No consta;0,0
Hombres;Rioja, La;Medicamento recetado;TOTAL;131,1
Hombres;Rioja, La;Medicamento recetado;Sí;2,2
Hombres;Rioja, La;Medicamento recetado;No;123,1
Hombres;Rioja, La;Medicamento recetado;No necesitó asistencia;5,7
Hombres;Rioja, La;Medicamento recetado;No consta;0,0
Hombres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);TOTAL;131,1
Hombres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);Sí;0,8
Hombres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No;92,5
Hombres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;37,8
Hombres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Ceuta;Atención médica;TOTAL;33,6
Hombres;Ceuta;Atención médica;Sí;0,0
Hombres;Ceuta;Atención médica;No;33,6
Hombres;Ceuta;Atención médica;No necesitó asistencia;0,0
Hombres;Ceuta;Atención médica;No consta;0,0
Hombres;Ceuta;Atención dental;TOTAL;33,6
Hombres;Ceuta;Atención dental;Sí;0,2
Hombres;Ceuta;Atención dental;No;33,4
Hombres;Ceuta;Atención dental;No necesitó asistencia;0,0
Hombres;Ceuta;Atención dental;No consta;0,0
Hombres;Ceuta;Medicamento recetado;TOTAL;33,6
Hombres;Ceuta;Medicamento recetado;Sí;0,2
Hombres;Ceuta;Medicamento recetado;No;33,4
Hombres;Ceuta;Medicamento recetado;No necesitó asistencia;0,0
Hombres;Ceuta;Medicamento recetado;No consta;0,0
Hombres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);TOTAL;33,6
Hombres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No;33,4
Hombres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,2
Hombres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Melilla;Atención médica;TOTAL;32,0
Hombres;Melilla;Atención médica;Sí;1,4
Hombres;Melilla;Atención médica;No;24,5
Hombres;Melilla;Atención médica;No necesitó asistencia;6,0
Hombres;Melilla;Atención médica;No consta;0,0
Hombres;Melilla;Atención dental;TOTAL;32,0
Hombres;Melilla;Atención dental;Sí;1,5
Hombres;Melilla;Atención dental;No;18,6
Hombres;Melilla;Atención dental;No necesitó asistencia;11,9
Hombres;Melilla;Atención dental;No consta;0,0
Hombres;Melilla;Medicamento recetado;TOTAL;32,0
Hombres;Melilla;Medicamento recetado;Sí;0,5
Hombres;Melilla;Medicamento recetado;No;15,5
Hombres;Melilla;Medicamento recetado;No necesitó asistencia;16,0
Hombres;Melilla;Medicamento recetado;No consta;0,0
Hombres;Melilla;Atención salud mental (psicólogo, psiquiatra...);TOTAL;32,0
Hombres;Melilla;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No;6,6
Hombres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;25,3
Hombres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Total Nacional;Atención médica;TOTAL;20.525,0
Mujeres;Total Nacional;Atención médica;Sí;450,0
Mujeres;Total Nacional;Atención médica;No;19.611,5
Mujeres;Total Nacional;Atención médica;No necesitó asistencia;460,3
Mujeres;Total Nacional;Atención médica;No consta;3,1
Mujeres;Total Nacional;Atención dental;TOTAL;20.525,0
Mujeres;Total Nacional;Atención dental;Sí;2.060,4
Mujeres;Total Nacional;Atención dental;No;16.821,7
Mujeres;Total Nacional;Atención dental;No necesitó asistencia;1.634,7
